d,PM10,PM24,PM25,고도(m),풍향(deg),풍속(m/s)
201601031600,102,70,59,404.64,344.3,5.37
201601031700,105,74,64,404.64,343.14,5.99
201601031800,104,77,65,404.64,338.6,7.92
201601031900,111,81,69,404.64,337.11,7.65
201601032000,113,85,76,404.64,337.03,7.85
201601032100,111,88,78,404.64,339.82,9.26
201601032200,102,89,80,404.64,347.28,8.49
201601040100,121,91,71,404.64,357,9.06
201601040200,144,98,86,404.64,358.44,8.4
201601040300,152,108,92,404.64,350.76,9.18
201601040400,143,111,92,404.64,353.55,9.38
201601040500,134,113,85,404.64,353.6,8.64
201601040600,136,114,75,404.64,347.17,8.1
201601040700,116,111,65,404.64,347.35,9.23
201602081600,114,58,49,404.64,334.36,14.99
201602081700,101,69,51,404.64,335.69,12.22
201602081900,113,80,64,404.64,349.05,9.47
201602082000,124,81,64,404.64,349.14,8.44
201602082100,128,84,71,404.64,342.81,6.64
201602082200,118,89,63,404.64,333.77,6.1
201602082300,156,98,83,404.64,332.64,5.3
201602090000,175,109,102,404.64,331.12,4.39
201602230900,106,66,45,404.64,340.46,10.27
201603061700,127,77,56,404.64,95.17,1.02
201603070100,125,113,37,404.64,244.87,0.25
201603070600,122,112,34,404.64,305.49,1.06
201603071400,109,103,46,404.64,358.14,1.27
201603071500,108,101,50,404.64,343.89,9
201603071700,106,99,51,404.64,351.19,10.18
201603071800,112,99,50,404.64,21.56,1.38
201603071900,131,102,58,404.64,349.64,9.73
201603080000,119,96,34,404.64,11.63,5.79
201603080100,120,97,41,404.64,2.65,4.74
201603080200,139,102,35,404.64,2.73,6.53
201603080300,148,108,42,404.64,3.35,8.07
201603080400,157,114,34,404.64,353.99,8.52
201603080500,113,113,31,404.64,4.13,9.79
201603191600,106,78,66,404.64,11.5,1.63
201603290400,101,76,59,404.64,244.99,18.31
201603291200,101,82,50,404.64,289.29,2.63
201603291300,101,85,52,404.64,342.24,3.09
201603291400,105,85,37,404.64,348.22,6.65
201603291500,105,85,44,404.64,11.45,1.58
201603300800,112,98,57,404.64,226.67,0.56
201603300900,117,100,74,404.64,210.45,0.42
201603301100,120,105,68,404.64,259.51,1.22
201604011600,101,68,35,404.64,253.15,5.6
201605251400,112,84,81,404.64,242.94,0.86
201605251900,103,85,63,404.64,248.96,9.86
201605252000,106,87,68,404.64,257.23,8.45
201605252200,128,92,88,404.64,245.64,6.77
201605260000,101,93,62,404.64,255.81,6.02
201605260200,104,90,58,404.64,257.83,6.02
201605261000,103,88,79,404.64,260.98,2.52
201605261100,131,90,70,404.64,275.08,2.22
201605261200,115,93,63,404.64,295.34,2.4
201605261300,102,93,55,404.64,307.42,2.8
201605261400,101,93,57,404.64,324.03,2.23
201605261800,102,91,58,404.64,0.33,3.16
201605261900,114,92,73,404.64,346.32,2.23
201605262000,112,95,81,404.64,13.13,2.14
201605262100,119,95,70,404.64,13.74,1.97
201605262200,110,96,85,404.64,15.08,1.18
201605292000,111,80,53,404.64,340.16,9.29
201605292200,103,85,55,404.64,342.83,6.69
201605302200,108,75,66,404.64,283.43,9.18
201605302300,135,82,90,404.64,283.06,8.54
201605310000,126,88,79,404.64,306.73,7.84
201605310100,147,97,71,404.64,310.15,8.1
201605310200,133,102,68,404.64,303.07,4.24
201606211900,103,65,66,404.64,201.01,8.85
201606220100,116,81,68,404.64,149.74,3.38
201606220200,101,83,74,404.64,149.45,2.5
201606221500,109,74,102,404.64,61.65,2.24
201606281800,104,67,73,404.64,179.78,3.35
201607111700,102,63,64,404.64,241.17,3.81
201608061500,110,65,66,404.64,104.69,1.66
201608061600,112,70,62,404.64,152.11,0.83
201609011300,105,64,60,404.64,223.19,14.34
201609011500,112,73,52,404.64,214.45,15.7
201609011700,105,79,58,404.64,211.37,16.93
201609062000,103,64,56,404.64,354.71,3.49
201609062100,104,68,63,404.64,2.67,5.05
201609062200,132,79,66,404.64,8.14,5.59
201609062300,112,81,57,404.64,32.18,4.87
201609070000,101,83,54,404.64,33.38,2.76
201609070800,114,90,59,404.64,298.79,4.71
201609070900,115,91,60,404.64,324.17,5.15
201609071000,109,91,62,404.64,303.43,6.28
201610141600,103,62,55,404.64,116.16,2.35
201610141700,109,68,53,404.64,95.62,1.45
201610141800,101,73,62,404.64,85.09,2.26
201610142100,112,79,61,404.64,93.59,1.06
201610142200,116,84,63,404.64,127.52,0.74
201610142300,106,87,57,404.64,104.09,1.39
201610150000,108,90,57,404.64,98.89,2.79
201610150800,107,87,64,404.64,116.63,4.73
201610150900,101,87,57,404.64,121.91,3.6
201611171600,106,75,38,404.64,148.05,1.68
201611171700,114,80,39,404.64,158.84,1.79
201611171800,115,85,35,404.64,188.09,1.67
201611172000,136,97,50,404.64,154.24,1.89
201611172100,133,101,56,404.64,182.29,1.97
201611172200,118,102,57,404.64,226.65,3.52
201611172300,113,101,53,404.64,202.77,2.46
201611180000,108,100,53,404.64,180.38,3.88
201611180100,112,99,53,404.64,171.07,4.33
201611180200,117,101,58,404.64,170.87,5.59
201611180300,116,102,57,404.64,181.41,6.14
201611180800,104,105,48,404.64,154.6,8.86
201611181400,102,99,45,404.64,156.45,6.43
201611181500,108,99,41,404.64,164.05,6.08
201611181800,105,93,38,404.64,183.87,2.16
201611181900,129,96,46,404.64,221.01,1.35
201611182100,129,102,55,404.64,328.31,1.27
201611182300,130,106,60,404.64,348.99,2.74
201611190200,117,107,47,404.64,221.41,0.44
201611211100,101,73,31,404.64,22.07,9.87
201611272000,115,85,0,404.64,347.52,11.31
201611272100,118,89,0,404.64,346.97,11.61
201611280000,132,100,0,404.64,347.88,9.26
201611280100,132,104,0,404.64,345.53,10.63
201611280200,145,108,0,404.64,345.28,9.89
201611280300,148,112,0,404.64,356.71,9.64
201611280400,153,117,0,404.64,350.18,9.52
201611280600,149,124,0,404.64,343.87,9.9
201611280700,144,125,0,404.64,349.9,9.82
201611280800,144,125,0,404.64,344.68,11.39
201611280900,154,127,0,404.64,346.97,11.53
201611281000,147,127,0,404.64,354.29,10.86
201611281100,120,128,0,404.64,1.03,11.04
201612041800,105,79,45,404.64,261.15,9.69
201612041900,107,81,44,404.64,276.97,9.94
201612042000,103,84,40,404.64,288.56,9.99
201612042200,102,86,43,404.64,315.76,8.71
201612042300,112,88,42,404.64,317.2,7.72
201612050000,119,91,43,404.64,321.62,7.48
201612050100,117,93,47,404.64,316.71,7.6
201612050200,119,96,49,404.64,314.02,7.11
201612050300,121,98,50,404.64,326.64,6.34
201612050400,108,98,48,404.64,321.13,7.6
